match_id,defending_team,home_away,defender_id,defender_name,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y
10516,371,home,13859,Mislav Orsic,197,4.650670051,18.89349746,69,3.581188406,22.73863768,31,5.781709677,21.86109677,38,1.786026316,23.45452632,67,3.492537313,22.55029851,31,5.781709677,21.86109677,36,1.521305556,23.14377778
10516,371,home,13860,Marko Livaja,140,14.20057857,3.822792857,32,14.21821875,1.18846875,14,16.1585,3.405714286,18,12.70911111,-0.536055556,32,14.21821875,1.18846875,14,16.1585,3.405714286,18,12.70911111,-0.536055556
10516,371,home,13861,Bruno Petkovic,58,8.875189655,11.04162069,18,10.98988889,13.749,8,15.026375,9.679125,10,7.7607,17.0049,18,10.98988889,13.749,8,15.026375,9.679125,10,7.7607,17.0049
10516,371,home,1687,Luka Modric,198,-2.85309596,-1.008510101,39,-3.284410256,-2.065948718,17,-1.218294118,0.877176471,22,-4.880954545,-4.340181818,39,-3.284410256,-2.065948718,17,-1.218294118,0.877176471,22,-4.880954545,-4.340181818
10516,371,home,4615,Josip Stanisic,198,-7.512843434,-14.91332828,20,3.82355,-22.2343,11,11.19881818,-23.21954545,9,-5.190666667,-21.03011111,20,3.82355,-22.2343,11,11.19881818,-23.21954545,9,-5.190666667,-21.03011111
10516,371,home,4883,Andrej Kramaric,127,7.979385827,2.257716535,33,9.600545455,0.611909091,16,11.77175,1.708875,17,7.557058824,-0.420529412,32,8.7129375,-0.1433125,16,11.77175,1.708875,16,5.654125,-1.9955
10516,371,home,4892,Josko Gvardiol,198,-11.4224596,4.805752525,11,-22.31618182,3.883090909,3,-24.73366667,11.96266667,8,-21.409625,0.85325,11,-22.31618182,3.883090909,3,-24.73366667,11.96266667,8,-21.409625,0.85325
10516,371,home,5968,Lovro Majer,140,7.199935714,-5.5546,52,6.855480769,-2.2935,24,7.932,-0.855208333,28,5.93275,-3.526321429,50,6.70298,-3.46186,24,7.932,-0.855208333,26,5.5685,-5.868
10516,371,home,6019,Nikola Vlasic,71,4.31956338,-10.09557746,19,7.402894737,-12.56978947,11,10.02590909,-15.45627273,8,3.79625,-8.600875,19,7.402894737,-12.56978947,11,10.02590909,-15.45627273,8,3.79625,-8.600875
10516,371,home,6029,Kristijan Jakic,1,0.236,13.786,1,0.236,13.786,,,,1,0.236,13.786,1,0.236,13.786,,,,1,0.236,13.786
