player_name,team,mins_played
Toby Alderweireld,Belgium,283
Firas Tariq Nasser Al Albirakan,Saudi Arabia,282
Silvan Widmer,Switzerland,281
Moisés Isaac Caicedo Corozo,Ecuador,281
Min Jae Kim,South Korea,281
Gonzalo Jordy Plata Jiménez,Ecuador,280
Aaron Ramsey,Wales,280
Jordan Brian Henderson,England,279
Aleksandar Mitrović,Serbia,278
André-Frank Zambo Anguissa,Cameroon,276
Angelo Smit Preciado Quiñónez,Ecuador,275
Philip Foden,England,275
Pedro Miguel Correia,Qatar,273
Homam Alamin Ahmed,Qatar,273
Serge Gnabry,Germany,273
Jamal Musiala,Germany,273
Rúben Diogo Da Silva Neves,Portugal,272
Weston McKennie,United States,271
Iñaki Williams Arthuer,Ghana,271
Dušan Tadić,Serbia,270
Mitchell Thomas Duke,Australia,270
Jordi Alba Ramos,Spain,270
Jean-Eric Maxim Choupo-Moting,Cameroon,269
Bryan Oviedo,Costa Rica,269
Tajon Buchanan,Canada,269
José Diogo Dalot Teixeira,Portugal,268
Keysher Fuller Spence,Costa Rica,267
Hirving Rodrigo Lozano Bahena,Mexico,266
Riley McGree,Australia,265
Djibril Sow,Switzerland,264
Ethan Ampadu,Wales,264
Joakim Mæhle,Denmark,263
Mathías Olivera Miramontes,Uruguay,263
Salis Abdul Samed,Ghana,263
