match_id,defender_id,defender_name,passes_against_on_field
3845,8022,Jurrien Timber,437
3845,8026,Daley Blind,437
3845,8032,Kenneth Taylor,38
3845,8033,Davy Klaassen,266
3845,8034,Steven Berghuis,171
3845,8134,Denzel Dumfries,437
3845,8326,Teun Koopmeiners,53
3845,8327,Marten De Roon,384
3845,8342,Memphis Depay,266
3844,11960,Enner Valencia,292
3844,1287,José Cifuentes,123
3844,13032,Pathe Ciss,333
3844,13049,Gonzalo Plata,292
3844,13228,Youssouf Sabaly,445
3844,13901,Pape Abou Cissé,13
3844,13935,Hernan Galindez,292
3844,13937,Angelo Preciado,277
3844,13939,Djorkaeff Reasco,78
3844,1406,Pervis Estupinan,292
3844,2059,Edouard Mendy,445
3844,2134,Moises Caicedo,292
3844,214,Nampalys Mendy,112
3844,2144,Iliman Ndiaye,333
3844,3519,Michael Estrada,214
3844,3734,Félix Torres,292
3844,3848,Abdou Diallo,445
3844,3858,Idrissa Gueye,445
3844,3895,Ismail Jakobs,445
3844,3978,Pape Gueye,445
3844,3996,Bamba Dieng,112
3844,428,Ismaïla Sarr,445
3844,4560,Carlos Gruezo,169
3844,5195,Piero Hincapie,292
3844,6596,Jeremy Sarmiento,123
3844,7571,Alan Franco,169
3844,7988,Boulaye Dia,432
3844,9837,Jackson Porozo,15
3844,9993,Kalidou Koulibaly,445
3842,12960,Ricardo Rodriguez,562
3842,132,Fred,331
3842,13880,Fabian Frei,56
3842,157,Granit Xhaka,562
3842,1676,Eder Militao,492
3842,1683,Casemiro,492
3842,1695,Vinícius Junior,492
3842,1697,Rodrygo,224
3842,1926,Thiago Silva,492
3842,195,Richarlison,417
3842,2071,Alex Telles,37
3842,2074,Raphinha,417
3842,30,Gabriel Jesus,75
3842,32,Alisson,492
3842,3846,Marquinhos,492
3842,3924,Bruno Guimarães,161
3842,3930,Lucas Paquetá,268
3842,4566,Rubén Vargas,385
3842,4661,Manuel Akanji,562
3842,4691,Yann Sommer,562
3842,4695,Nico Elvedi,562
3842,4717,Breel Embolo,463
3842,4732,Djibril Sow,463
3842,5006,Renato Steffen,177
3842,5029,Silvan Widmer,506
3842,5035,Edimilson Fernandes,177
3842,8011,Haris Seferovic,99
3842,8039,Antony,75
