player,Nodes Degree_xt,Closeness_xt,Pagerank_xt,Betweenness_xt,Nodes Degree_base,Closeness_base,Pagerank_base,Betweenness_base,match_id,team,player_match_id,Sofascore Rating
Andreas Christensen,7.335942649,0.107519368,0.033729336,0.003448276,168,1.973107279,0.059919481,0.093103448,3857257,Denmark,Andreas Christensen_3857257,7.4
Mehdi Taremi,7.335418171,0.147299249,0.075918223,0.055172414,46,0.92578986,0.072498788,0.037356322,3857273,Iran,Mehdi Taremi_3857273,7.9
Rodrigo Bentancur Colmán,7.333286643,0.121519724,0.042365085,0.011827957,90,1.064876722,0.059823449,0.089784946,3857270,Uruguay,Rodrigo Bentancur_3857270,7
Luka Modrić,7.330197464,0.108669496,0.041309816,0.013793103,207,1.839189584,0.071222412,0.106896552,3869420,Croatia,Luka Modrić_3869420,7.5
Christian Dannemann Eriksen,7.330106422,0.134828664,0.059888251,0.02955665,113,1.304513185,0.061645314,0.034688013,3857266,Denmark,Christian Eriksen_3857266,7.3
Jin-Su Kim,7.325282968,0.133704502,0.043650418,0.023399015,76,1.575182787,0.03850736,0.017241379,3857299,South Korea,Jin-su Kim_3857299,7.5
Axel Disasi,7.31445738,0.135407253,0.042857609,0.013546798,102,1.943247938,0.046012556,0.043103448,3857275,France,Axel Disasi_3857275,6.8
Nemanja Maksimović,7.310848857,0.128344536,0.043674985,0.011827957,54,0.89500502,0.029483853,0.000358423,3857259,Serbia,Nemanja Maksimović_3857259,6.8
Nico Elvedi,7.289253434,0.120803522,0.039923152,0.029885057,118,1.266586248,0.050452571,0.071264368,3857290,Switzerland,Nico Elvedi_3857290,7.3
Jude Bellingham,7.287360507,0.157434586,0.070535463,0.053333333,75,1.228810934,0.049029589,0.02,3869354,England,Jude Bellingham_3869354,7
Memphis Depay,7.287019464,0.121924941,0.037270519,0.012096774,71,1.442222076,0.035638469,0.003024194,3869321,Netherlands,Memphis Depay_3869321,6.3
Virgil van Dijk,7.2846536,0.097204535,0.027170772,0.003024194,161,1.732732172,0.051689902,0.024697581,3869321,Netherlands,Virgil van Dijk_3869321,6.4
Hirving Rodrigo Lozano Bahena,7.282581919,0.126580434,0.049264565,0.049425287,57,1.085443038,0.048506548,0.03908046,3857260,Mexico,Hirving Lozano_3857260,8.1
Pepe,7.274147438,0.108605401,0.034739743,0.011083744,128,1.747369818,0.053996562,0.04679803,3857262,Portugal,Pepe_3857262,7.1
Antonio Rüdiger,7.272093085,0.118619555,0.034481421,0.012903226,147,1.624861078,0.043439719,0.009677419,3857292,Germany,Antonio Rüdiger_3857292,6.3
Ali Karimi,7.248319035,0.133023227,0.045470987,0.010752688,57,1.070343555,0.035176026,0,3857278,Iran,Ali Karimi_3857278,6.8
Matías Vecino Falero,7.229639588,0.116621492,0.045015697,0.009677419,73,1.056633309,0.047310625,0.038709677,3857293,Uruguay,Matías Vecino_3857293,6.6
Lionel Andrés Messi Cuccittini,7.228124054,0.116852893,0.03685236,0.012315271,80,1.967290007,0.041656381,0.016625616,3857300,Argentina,Lionel Messi_3857300,7.7
Kamal Miller,7.224550752,0.112084302,0.03830854,0.010752688,159,1.499120031,0.071690306,0.097849462,3857276,Canada,Kamal Miller_3857276,6.4
Granit Xhaka,7.22322918,0.120379898,0.046526951,0.013978495,116,1.189804423,0.059330999,0.03172043,3857269,Switzerland,Granit Xhaka_3857269,6.9
Timothy Castagne,7.219660187,0.126630059,0.041551076,0.00862069,145,1.389589202,0.064716808,0.104679803,3857296,Belgium,Timothy Castagne_3857296,7.4
Borna Sosa,7.212955018,0.109745416,0.044858112,0.028325123,98,1.188494759,0.048024134,0.064039409,3857277,Croatia,Borna Sosa_3857277,7.3
Lionel Andrés Messi Cuccittini,7.211917049,0.129602919,0.054128699,0.024731183,120,1.84263054,0.059585963,0.066666667,3869151,Argentina,Lionel Messi_3869151,8
Antoine Griezmann,7.209160627,0.125680319,0.045038399,0.020689655,84,1.344296217,0.040999214,0.003448276,3869152,France,Antoine Griezmann_3869152,7.3
Dejan Lovren,7.20501007,0.110586743,0.042371206,0.004597701,156,1.602156959,0.046945758,0.031034483,3869420,Croatia,Dejan Lovren_3869420,7.4
Antonee Robinson,7.201547289,0.115521689,0.039022475,0.020689655,91,1.419182478,0.043487997,0.034482759,3857282,United States,Antonee Robinson_3857282,6.7
Moon-Hwan Kim,7.199635201,0.125859928,0.045131842,0.027093596,137,1.927985206,0.057289071,0.056650246,3857299,South Korea,Moon-hwan Kim_3857299,6.7
Ibrahima Konaté,7.188974298,0.116616231,0.036455811,0.006157635,125,2.11538145,0.049211947,0.04679803,3857275,France,Ibrahima Konaté_3857275,8
Alistair Johnston,7.184538337,0.124072971,0.046834276,0.009677419,101,1.276811349,0.048285674,0.049820789,3857276,Canada,Alistair Johnston_3857276,6.5
Naïm Sliti,7.16774682,0.130393272,0.047697559,0.025287356,55,1.114314721,0.042065036,0.018965517,3857288,Tunisia,Naïm Sliti_3857288,7.1
Axel Witsel,7.165002058,0.14310591,0.047773838,0.007389163,91,1.238795839,0.043473575,0.018472906,3857296,Belgium,Axel Witsel_3857296,6.8
Chris Mepham,7.155693206,0.105854883,0.044241973,0.024731183,90,0.872713168,0.065393066,0.109139785,3857261,Wales,Chris Mepham_3857261,6.6
Abdou Diallo,7.154470822,0.118013522,0.046310895,0.01827957,87,1.081371797,0.05912238,0.066487455,3869118,Senegal,Abdou Diallo_3869118,6
Antonee Robinson,7.149932843,0.114021852,0.038295085,0.021505376,75,0.854211486,0.04629537,0.052688172,3857278,United States,Antonee Robinson_3857278,7
Ibrahima Konaté,7.142055578,0.120295257,0.038887398,0.009195402,176,2.200517192,0.054732119,0.055172414,3857279,France,Ibrahima Konaté_3857279,7.1
Alphonso Davies,7.139701464,0.132701733,0.046273929,0.013978495,46,1.111031451,0.032908435,0,3857276,Canada,Alphonso Davies_3857276,6.8
Leandro Daniel Paredes,7.132167491,0.116559745,0.034209261,0.005376344,150,2.426469487,0.042922981,0.043010753,3857264,Argentina,Leandro Paredes_3857264,6.9
Dayotchanculle Upamecano,7.127094733,0.117271805,0.04384458,0.02183908,101,1.373373373,0.042132387,0.01954023,3869152,France,Dayot Upamecano_3869152,6.8
Bruno Guimarães Rodriguez Moura,7.126521353,0.138303907,0.047429607,0.027093596,56,1.594150471,0.036853735,0.02955665,3857280,Brazil,Bruno Guimarães_3857280,6.2
Marcelo Brozović,7.126483612,0.125188548,0.04952176,0.008045977,188,1.817786342,0.069007978,0.06091954,3869420,Croatia,Marcelo Brozović_3869420,7.6
